Date,Open,High,Low,Close,Adj Close,Volume
12-04-2010,238.175003,265.825012,238.175003,258.950012,235.36113,2716380
13-04-2010,260,262.450012,252.550003,254.149994,230.998398,5941176
15-04-2010,259,262,254,255.399994,232.134506,5727760
16-04-2010,255.5,256.875,250,251.425003,228.521606,4684012
19-04-2010,247.5,254.725006,245.25,251.800003,228.862473,3964724
20-04-2010,256,259.600006,251.75,255.425003,232.157242,4393500
21-04-2010,258,258,253.5,254.125,230.975647,2358306
22-04-2010,254.5,259.5,250.550003,254.199997,231.043854,5861678
23-04-2010,255,261.625,252,260.549988,236.815369,6228608
26-04-2010,262.5,266.25,262,264.674988,240.564621,4647798
27-04-2010,265,270.350006,265,268.375,243.927536,5384902
28-04-2010,263,268.375,260,262.450012,238.542313,3507390
29-04-2010,264.5,266.950012,258.075012,261.75,237.906052,4087402
30-04-2010,262.549988,265.924988,259.75,263.075012,239.110352,5085548
03-05-2010,262.5,267.825012,260.549988,262.625,238.70134,2645630
04-05-2010,265,267.975006,256,258.924988,235.338379,4344102
05-05-2010,255.050003,264,251.300003,259.200012,235.588364,4318424
06-05-2010,259,260.649994,253.725006,258.899994,235.315674,3504234
07-05-2010,255,264.350006,252.699997,262,238.133301,3518742
10-05-2010,267.25,277.5,264.024994,276.825012,251.607834,5213278
11-05-2010,278.5,283.850006,275.5,281.850006,256.175049,7827086
12-05-2010,281.25,283,268,274.024994,249.062851,4138028
13-05-2010,276.950012,287.450012,276.049988,283.350006,257.538452,4696740
14-05-2010,281.450012,283.325012,277.174988,279.899994,254.402679,3763568
17-05-2010,276,280.450012,271.100006,277.700012,252.403061,2616144
18-05-2010,278.024994,284.25,273.700012,280.225006,254.69812,2668758
19-05-2010,277.5,279.475006,257.299988,262.700012,238.769516,5216126
20-05-2010,266,270.600006,258.600006,260.850006,237.088058,2376514
21-05-2010,255,270.950012,252.600006,269.174988,244.654663,3328598
24-05-2010,287.5,287.5,262.024994,264.600006,240.496429,2522056
25-05-2010,260.549988,269.25,253.625,257.975006,234.474945,3382896
26-05-2010,265,268.350006,255.875,258.674988,235.11116,4813004
27-05-2010,260.024994,270.75,257,264.225006,240.155579,4841974
28-05-2010,267.899994,274.875,267.5,272.975006,248.108536,2678902
31-05-2010,277.5,289.049988,276.5,286.350006,260.265137,4970220
01-06-2010,286,292,279.049988,282.125,256.425079,5718168
02-06-2010,283.700012,289.399994,282,287.274994,261.105865,4822088
03-06-2010,292.5,294.5,288.325012,291.475006,264.923279,3806716
04-06-2010,293.5,293.75,286.075012,292.600006,265.945801,3537110
07-06-2010,286.475006,293.450012,280.5,290.125,263.696259,3295406
08-06-2010,290,293,284.875,285.375,259.378906,2473282
09-06-2010,287.399994,292,285.399994,289.174988,262.832794,2263042
10-06-2010,290,299.950012,289,296.375,269.376953,2620950
11-06-2010,299.975006,308.25,299.975006,303.350006,275.716522,5418614
14-06-2010,303,309.25,301.125,307.850006,279.80658,3005094
15-06-2010,309,309,302.5,304.075012,276.375458,2226442
16-06-2010,305.5,317.975006,305.25,314.649994,285.987244,6623234
17-06-2010,312.5,320.600006,312.5,317.350006,288.441193,6815058
18-06-2010,316.75,321.5,307.5,309.600006,281.397217,5478530
21-06-2010,313.5,320,312.5,318.475006,289.463715,2801608
22-06-2010,318.5,322.5,314.200012,316.575012,287.736786,3188464
23-06-2010,315,318.450012,313.549988,315.450012,286.714264,2551704
24-06-2010,316,318.899994,310.049988,316.024994,287.236877,3510454
25-06-2010,310,317.75,301.549988,306.674988,278.738647,2249686
28-06-2010,305,313.5,304,311.424988,283.055969,2442170
29-06-2010,311,312.75,304.5,306.950012,278.988586,1652116
30-06-2010,304.5,316.475006,304.5,313.674988,285.100952,3473310
01-07-2010,312.5,315.049988,306.5,307.575012,279.556671,2102312
02-07-2010,309.450012,310.700012,300.5,301.174988,273.739624,3142034
05-07-2010,301,307,299.299988,305.049988,277.261627,1504652
06-07-2010,305.125,314.625,305.125,313.524994,284.964661,2641624
07-07-2010,314.975006,315,309.5,310.825012,282.51062,2404716
08-07-2010,311.375,316.450012,307.600006,311.075012,283.079407,3236166
09-07-2010,312.600006,320.450012,312.600006,319.274994,290.541382,2743146
12-07-2010,321,324,316.075012,318.899994,290.200104,1742978
13-07-2010,320,320.950012,311.200012,316.049988,287.606628,2781902
14-07-2010,314,320.5,307,308.350006,280.599579,3296870
15-07-2010,310,310.399994,304.649994,308.125,280.394836,3474800
16-07-2010,307.75,311.450012,300.899994,301.975006,274.79837,4613614
19-07-2010,302.5,306.950012,297.5,303.225006,275.935822,3115018
20-07-2010,305.25,307.5,300,301.049988,273.956604,2266842
21-07-2010,303,310.475006,301.75,308.375,280.622345,5724102
22-07-2010,309.25,317,305.5,316.625,288.129852,3952244
23-07-2010,316,320.5,313,313.950012,285.695587,1972120
26-07-2010,310,318.975006,309.25,310.25,282.328613,1555444
27-07-2010,312.5,321.325012,309.600006,319.924988,291.132935,4084588
28-07-2010,320.625,329,319.5,324.024994,294.863892,6198744
29-07-2010,323,326.100006,318.325012,321.950012,292.975647,2166672
30-07-2010,320.5,332.450012,320,330.75,300.983704,4685954
02-08-2010,334.024994,335,326.75,330.700012,300.938202,2403426
03-08-2010,332,332.5,325,325.899994,296.570129,1414664
04-08-2010,325.549988,330,321.299988,328.424988,298.867889,2163534
05-08-2010,329.899994,329.950012,321.600006,322.649994,293.61261,1853342
06-08-2010,321.5,329,321,324.375,295.182434,2275590
09-08-2010,328.850006,339.850006,311.325012,324.649994,295.432709,1715038
10-08-2010,325,328.399994,318.125,320.549988,291.70163,2192742
11-08-2010,322.5,323.5,310.225006,313.475006,285.263336,4120430
12-08-2010,310,322.5,307.549988,316.524994,288.03891,5151604
13-08-2010,318.225006,318.825012,311.899994,313.725006,285.490875,2749328
16-08-2010,314,317.725006,309.049988,312.600006,284.467163,2474604
17-08-2010,312.625,314.899994,307.549988,310.100006,282.192108,2019616
18-08-2010,312,312.5,305.5,309.075012,281.259399,2983554
19-08-2010,310.549988,312.174988,307.5,308.024994,280.303894,2556726
20-08-2010,306,311,304.149994,308.850006,281.054596,4478298
23-08-2010,312.5,317.25,310.024994,312.075012,283.98941,3858098
24-08-2010,313.625,314.899994,307.049988,308.049988,280.326569,1777466
25-08-2010,309,309.875,303.649994,307.575012,279.894318,2257516
26-08-2010,309,312.200012,304.450012,309.549988,281.69165,2815598
27-08-2010,309.75,310.25,304.5,305.899994,278.370117,2666498
30-08-2010,307.25,309.649994,302.125,304.674988,277.255341,1546066
31-08-2010,305.5,314.75,302.5,313.350006,285.149628,4321692
01-09-2010,316,318.450012,312.600006,315.075012,286.719391,3435526
02-09-2010,316.850006,317.350006,312.049988,313.125,284.944855,1282542
03-09-2010,313.950012,320.399994,312,315.325012,286.946869,3344436
06-09-2010,316.549988,318.899994,315.024994,317.125,288.58493,1960008
07-09-2010,307.5,319.975006,307.5,314.625,286.309906,2154446
08-09-2010,315,319,313.75,317.625,289.039886,2019674
09-09-2010,320,329,318.725006,327.799988,298.299133,4424118
13-09-2010,329,334.049988,325.825012,332.424988,302.507904,2926698
14-09-2010,333,339.25,328.725006,335.475006,305.283447,3402996
15-09-2010,335.5,342.5,333.5,338.049988,307.626678,3218328
16-09-2010,338.049988,341.5,333,337.274994,306.921478,2940474
17-09-2010,340,343,338.600006,340,309.401215,2231462
20-09-2010,343,347,336.950012,343.899994,312.950195,2709896
21-09-2010,345,353.225006,340,342.649994,311.812744,3773068
22-09-2010,343.5,350.825012,335.75,340.950012,310.265717,4169084
23-09-2010,344,347,341.549988,345.399994,314.315186,2001696
24-09-2010,345.575012,347.25,342.549988,345.475006,314.383484,2178346
27-09-2010,350,352,344.799988,347.25,315.998779,2488416
28-09-2010,347.899994,358,347.899994,355.649994,323.642792,3650554
29-09-2010,357.5,360.100006,348.149994,349.375,317.932465,2426774
30-09-2010,349.375,352.299988,341.049988,345.75,314.633789,4695752
01-10-2010,349.399994,359.899994,348.149994,357.875,325.667542,3136178
04-10-2010,360,371.75,358,365.5,332.606323,3647092
05-10-2010,366.5,374.875,366.25,372.174988,338.680603,3023730
06-10-2010,374,379.75,367.899994,370.225006,336.906097,2346064
07-10-2010,372.450012,373.5,359.5,362.725006,330.080994,2312254
08-10-2010,364.524994,366.049988,347.049988,352.524994,320.798981,5141872
11-10-2010,354.049988,359.899994,350.5,353.75,321.913757,2266932
12-10-2010,354.5,359.350006,352.5,357.674988,325.485474,2924386
13-10-2010,359.399994,369.875,357.100006,367.924988,334.81308,3440122
14-10-2010,368,372,355,359.125,326.805054,3184188
15-10-2010,362.024994,363.25,352.774994,355.325012,323.347046,2345872
18-10-2010,362,362,344,350.600006,319.047302,4708334
19-10-2010,354.125,355.875,348.049988,350.75,319.183746,4203720
20-10-2010,349.950012,354.950012,347.5,349.549988,318.091736,2898738
21-10-2010,350.475006,357.5,349.049988,356.399994,324.325256,4364822
22-10-2010,357.5,359.200012,349.549988,350.799988,319.229218,1825938
25-10-2010,351.75,360.125,350.549988,357.350006,325.189789,4055336
26-10-2010,359.600006,364.200012,357.5,358.475006,326.213531,4422230
27-10-2010,359.950012,367.100006,358.049988,364.475006,331.673523,4016586
28-10-2010,366.5,369.850006,360.674988,366.524994,333.539001,6460580
29-10-2010,371.174988,372.649994,352.799988,366.850006,333.834839,5639100
01-11-2010,372,385.5,369.924988,383.25,348.758881,7258484
02-11-2010,385,386,375,378.799988,344.70932,3010558
03-11-2010,379.674988,385,376.5,379.950012,345.755859,3485120
